IDX,COMMON_PVFF_CROSSOVERS_IDL_REF,NOTES,POPULAR,VAR_2,VAR_3,VAR_4,VAR_5,VAR_6,VAR_7,VAR_8,VAR_9,VAR_10,VAR_11,VAR_12,VAR_13,VAR_14,VAR_15,VAR_16,VAR_17,VAR_18,VAR_19,VAR_20
140,SIZE,,4.625,4-5/8,,,,,,,,,,,,,,,,,,
141,SIZE,,4.75,4-3/4,,,,,,,,,,,,,,,,,,
142,SIZE,,5.125,5-1/8,,,,,,,,,,,,,,,,,,
143,SIZE,,5.25,5-1/4,,,,,,,,,,,,,,,,,,
144,SIZE,,5.3125,5-5/16,,,,,,,,,,,,,,,,,,
145,SIZE,,5.375,5-3/8,,,,,,,,,,,,,,,,,,
146,SIZE,,5.4375,5-7/16,,,,,,,,,,,,,,,,,,
147,SIZE,,5.5,5-1/2,,,,,,,,,,,,,,,,,,
148,SIZE,,5.5625,5-9/16,,,,,,,,,,,,,,,,,,
149,SIZE,,5.625,5-5/8,,,,,,,,,,,,,,,,,,
150,SIZE,,5.6875,5-11/16,,,,,,,,,,,,,,,,,,
151,SIZE,,5.75,5-3/4,,,,,,,,,,,,,,,,,,
152,SIZE,,6.125,6-1/8,,,,,,,,,,,,,,,,,,
153,SIZE,,6.25,6-1/4,,,,,,,,,,,,,,,,,,
154,SIZE,,6.3125,6-5/16,,,,,,,,,,,,,,,,,,
155,SIZE,,6.375,6-3/8,,,,,,,,,,,,,,,,,,
156,SIZE,,6.4375,6-7/16,,,,,,,,,,,,,,,,,,
157,SIZE,,6.5,6-1/2,,,,,,,,,,,,,,,,,,
158,SIZE,,6.5625,6-9/16,,,,,,,,,,,,,,,,,,
159,SIZE,,6.625,6-5/8,,,,,,,,,,,,,,,,,,
160,SIZE,,6.6875,6-11/16,,,,,,,,,,,,,,,,,,
161,SIZE,,6.75,6-3/4,,,,,,,,,,,,,,,,,,
162,SIZE,,6.8125,6-13/16,,,,,,,,,,,,,,,,,,
163,SIZE,,7.0625,7-1/16,,,,,,,,,,,,,,,,,,
164,SIZE,,7.25,7-1/4,,,,,,,,,,,,,,,,,,
165,SIZE,,7.3125,7-5/16,,,,,,,,,,,,,,,,,,
166,SIZE,,7.5,7-1/2,,,,,,,,,,,,,,,,,,
167,SIZE,,7.75,7-3/4,,,,,,,,,,,,,,,,,,
168,SIZE,,7.875,7-7/8,,,,,,,,,,,,,,,,,,
169,SIZE,,8.125,8-1/8,,,,,,,,,,,,,,,,,,
170,SIZE,,8.25,8-1/4,,,,,,,,,,,,,,,,,,
171,SIZE,,8.3125,8-5/16,,,,,,,,,,,,,,,,,,
172,SIZE,,8.375,8-3/8,,,,,,,,,,,,,,,,,,
173,SIZE,,8.4375,8-7/16,,,,,,,,,,,,,,,,,,
174,SIZE,,8.5,8-1/2,,,,,,,,,,,,,,,,,,
175,SIZE,,8.5625,8-9/16,,,,,,,,,,,,,,,,,,
176,SIZE,,8.625,8-5/8,,,,,,,,,,,,,,,,,,
177,SIZE,,8.6875,8-11/16,,,,,,,,,,,,,,,,,,
178,SIZE,,8.75,8-3/4,,,,,,,,,,,,,,,,,,
179,SIZE,,9.25,9-1/4,,,,,,,,,,,,,,,,,,
180,SIZE,,9.5,9-1/2,,,,,,,,,,,,,,,,,,
181,SIZE,,10.25,10-1/4,,,,,,,,,,,,,,,,,,
182,SIZE,,10.5,10-1/2,,,,,,,,,,,,,,,,,,
183,SIZE,,11.5,11-1/2,,,,,,,,,,,,,,,,,,
184,SIZE,,12.25,12-1/4,,,,,,,,,,,,,,,,,,
185,SIZE,,12.3125,12-5/16,,,,,,,,,,,,,,,,,,
186,SIZE,,12.375,12-3/8,,,,,,,,,,,,,,,,,,
187,SIZE,,12.4375,12-7/16,,,,,,,,,,,,,,,,,,
188,SIZE,,12.5,12-1/2,,,,,,,,,,,,,,,,,,
189,SIZE,,13.0625,13-1/16,,,,,,,,,,,,,,,,,,
